"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 07:46:04 UTC 2026","Tue Jun 09 07:46:04 UTC 2026","116","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jun 09 07:46:04 UTC 2026","Tue Jun 09 07:46:30 UTC 2026","26603","","AI-Generated Lever Job Listing Filter Validation","","Job listing filters refine results correctly on QA Istanbul page","","Job listing filters refine results correctly on QA Istanbul page",""
"passed","Tue Jun 09 07:46:03 UTC 2026","Tue Jun 09 07:46:03 UTC 2026","155","","PetStore API — CRUD Operations","","Retrieve a pet by ID","","Retrieve a pet by ID",""
"failed","Tue Jun 09 07:46:30 UTC 2026","Tue Jun 09 07:46:50 UTC 2026","19321","","InsiderOne Careers - End to End Test","","Verify Insider homepage and Quality Assurance job application flow","","Verify Insider homepage and Quality Assurance job application flow",""
"passed","Tue Jun 09 07:46:03 UTC 2026","Tue Jun 09 07:46:03 UTC 2026","94","","PetStore API — CRUD Operations","","Delete a pet","","Delete a pet",""
"passed","Tue Jun 09 07:46:03 UTC 2026","Tue Jun 09 07:46:03 UTC 2026","120","","PetStore API — CRUD Operations","","Update a pet's name","","Update a pet's name",""
"passed","Tue Jun 09 07:46:03 UTC 2026","Tue Jun 09 07:46:03 UTC 2026","40","","PetStore API — CRUD Operations","","Retrieve pet with invalid ID returns 404","","Retrieve pet with invalid ID returns 404",""
"passed","Tue Jun 09 07:46:00 UTC 2026","Tue Jun 09 07:46:03 UTC 2026","2307","","PetStore API — CRUD Operations","","Create a new pet successfully","","Create a new pet successfully",""
"passed","Tue Jun 09 07:46:04 UTC 2026","Tue Jun 09 07:46:04 UTC 2026","73","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
"passed","Tue Jun 09 07:46:03 UTC 2026","Tue Jun 09 07:46:04 UTC 2026","398","","PetStore API — CRUD Operations","","Find pets by status returns non-empty list","","Find pets by status returns non-empty list",""
